Medical name ,Brand Name,Drugs side Effects,Dangerous Side effects,Expert Centres,Contact Expert Centres,Contact II Expert Centres,Latitude,Longitude,Genetic Counseling,Contact Genetic C,Contact II Genetic C,Latitude2,Longitude2,Diagnostic test,Patient Organisation (PO),PO Link,Age of onset,Prevalence in Europe,Genes,Gene symbol,Type of mutation,UniProtKB,Symptoms and signs,Freq symp
 Ipilimumab,Yervoy,Blood and lymphatic system disorders (674),intestinal problems (colitis),Medizinische Universität Graz, +43 (0)316 385 13485,"Auenbruggerpl. 30, 8036 Graz, Austria",,,CLCC Institut Curie, +33 (0)1 44 32 45 55/50,"26 rue d'Ulm, 75248 PARIS CEDEX 05, FRANCE",,,,"United Kingdom, Melanoma Focus",https://melanomafocus.com,,,,,,,"None typical symptoms described consensually but intracranial hypertension, hydrocephalus, neurologic deficits secondary to nerve compression, intracranial hemorrhage, and seizure activity have been observed",
MDX-010,,Cardiac disorders (563),liver problems (hepatitis),Universitätsklinikum Freiburg, +49 00 49 (0)761 270 0,"Hugstetter Str. 55, 79106 FREIBURG, GERMANY",,,UMCG - Universitair Medisch Centrum Groningen, +31 (0)50 361 6161,"Hanzeplein 1, 9713 GZ GRONINGEN, NETHERLANDS",,,,"United Kingdom, CLIC Sargent",https://www.clicsargent.org.uk,,,,,,,Radiological exam required,
,,"Congenital, familial and genetic disorders (9)",skin problems,Christian-Doppler-Klinik - Universitätsklinikum der PMU, +43 (0)5 7255 30200,"Ignaz-Harrer-Straße 79, 5020 SALZBURG, AUSTRIA ",,,"Amsterdam UMC, locatie VUmc", +31 (0)20 444 4444,"De Boelelaan 1117, 1081 HV AMSTERDAM, NETHERLANDS",,,,"United Kingdom, Teenage Camcer trust",https://www.teenagecancertrust.org,,,,,,,,
,,Ear and labyrinth disorders (86),nerve problems,Medizinische Universität Innsbruck, +43 (0)512 504 23858,"Innrain, Christoph-Probst-Platz 52, 6020 Innsbruck, Austria",,,Prinses Máxima Centrum, +31 (0)88 972 7272,"Heidelberglaan 25, 3584 CS UTRECHT, NETHERLANDS",,,,"Australia, RCA Rare Cancers Australia limited",https://melanomafocus.com,,,,,,,,
,,Endocrine disorders (1809),"hormone gland problems (especially the pituitary, adrenal, and thyroid glands)",Allgemeines Krankenhaus der Stadt Wien, +43 (0)1 40400 32320,"Währinger Gürtel 18-20, 1097 WIEN, AUSTRIA",,,Erasmus MC - Erasmus Medisch Centrum, +31 (0)10 704 0704,"Doctor Molewaterplein 40, 3015 GD Rotterdam",,,,"Belgium, Fondation contre le Cancer, Fondation d'utilité publique",https://www.cancer.be,,,,,,,,
,,Eye disorders (484),lung problems (pneumonitis),CLCC Institut Curie, +33 (0)1 44 32 45 55/50,"26 rue d'Ulm, 75248 PARIS CEDEX 05, FRANCE",,,Hospital Sant Joan de Déu Barcelona, +34 93 253 21 00,"Paseo de Sant Joan de Déu, 2, 08950 ESPLUGUES DE LLOBREGAT, SPAIN",,,,"Cyprus, Cyprus Association for Children with Cancer and Related Diseases ""One Dream One Wish""",http://www.enaoniromiaefxi.com/enaoniromiaefxi/,,,,,,,,
,,Gastrointestinal disorders (4880),"kidney problems, including nephritis and kidney failure",Deutsches Krebsforschungszentrum, +49 (0)6221 56 8381,"Im Neuenheimer Feld 280, 69120 HEIDELBERG, GERMANY",,,Hospital General Universitario de Alicante, +34 965913535,"Avenida Pintor Baeza, 12, 03010 ALICANTE, SPAIN",,,,"Cyprus, PA.SY.KA.F - The Cyprus Association of Cancer Patients and Friends",https://pasykaf.org,,,,,,,,
,,General disorders and administration site conditions (4510),inflammation of the brain (encephalitis),Universitätsmedizin Mannheim, +49 (0)621 383 2248,"Theodor-Kutzer-Ufer 1 - 3, 68167 MANNHEIM, GERMANY",,,CHR de Metz-Thionville, +33 (0)3 87 34 51 35,"1 allée du château - CS45001, 57085 METZ CEDEX 03, FRANCE",,,,"France, Association Source Vive",http://www.source-vive.org/asso.html,,,,,,,,
,,Hepatobiliary disorders (1205),eye problems,Klinikum Stuttgart - Standort Olgahospital, +49 (0)711 278 72461,"Kriegsbergstraße 62, 70174 STUTTGART, GERMANY",,,University Hospital of Antwerp - UZA, +32 (0)3 275 97 74,"Wilrijkstraat 10, 2650 ANTWERPEN-EDEGEM, BELGIUM",,,,"France, La Ligue Contre le Cancer",https://www.ligue-cancer.net,,,,,,,,
,,Immune system disorders (261),,Südwestdeutsches Tumorzentrum (CCC) - Tübingen-Stuttgart, +49 (0)7071 29 85235,"Herrenberger Straße 23, 72070 TÜBINGEN, GERMANY",,,Cliniques Universitaires UCL Saint-Luc, +32 (0)2 764 78 00,"Avenue Hippocrate, 10, 1200 BRUSSELS, BELGIUM",,,,"Italy, ALTI - Associazione ''Io, domani'' per la Lotta contro i Tumori Infantili",http://www.iodomani.it,,,,,,,,
