Medical name ,Brand Name,Drugs side Effects,Dangerous Side effects,Expert Centres,Contact Expert Centres,Contact II Expert Centres,Latitude,Longitude,Genetic Counseling,Contact Genetic C,Contact II Genetic C,Latitude2,Longitude2,Diagnostic test,Patient Organisation (PO),PO Link,Age of onset,Prevalence in Europe,Genes,Gene symbol,Type of mutation,UniProtKB,Symptoms and signs,Freq symp
interferon-α2b,Intron A,"bruising, bleeding, pain, redness, swelling, or irritation in the place you injected interferon alfa-2b",rash,LUMC - Leids Universitair Medisch Centrum, +31 (0)71 526 2630,Albinusdreef 22333 ZA LEIDENNETHERLANDS,,,,,,,,Sanger sequencing,"United Kingdom, Melanoma Focus",https://melanomafocus.com,Adolescent,,cyclin dependent kinase inhibitor 2A,CDKN2A,Disease-causing germline mutation(s) in, P42771,Cutaneous neurofibromas ,
,,muscle pain,hives,Medizinische Universität Innsbruck, +43 (0)512 504 23026,"Innrain, Christoph-Probst-Platz 52, 6020 Innsbruck, Austria",,,,,,,,MLPA based techniques,"United Kingdom, CLIC Sargent",https://www.clicsargent.org.uk,Adult,,,,,,Neurofibromatosis type 1,
,,change in ability to taste,skin peeling,CHU de Lyon HCL - GH Est-Hôpital Femme Mère Enfant, +33 (0)4 27 85 61 26,59 Boulevard Pinel69677 BRON CEDEXFRANCE,,,,,,,,PCR based technique,"United Kingdom, Teenage Camcer trust",https://www.teenagecancertrust.org,Childhood,,,,,,,
,,hair loss,itching,CHU de Saint-Etienne - Hôpital Nord, +33 (0)4 77 82 83 33,Avenue Albert Raimond42270 SAINT-PRIEST-EN-JAREZFRANCE,,,,,,,,Microsatellite analysis,"Australia, RCA Rare Cancers Australia limited",https://melanomafocus.com,,,,,,,,
,,dizziness,difficulty breathing or swallowing,CHU Dijon Bourgogne - Hôpital François Mitterrand, +33 (0)3 80 29 33 36,2 bd Maréchal de Lattre de Tassigny21000 DIJONFRANCE,,,,,,,,Whole Exome Sequencing (WES),"Belgium, Fondation contre le Cancer, Fondation d'utilité publique",https://www.cancer.be,,,,,,,,
,,dry mouth,"swelling of the eyes, face, mouth, tongue, or throat",CHRU de Brest - Hôpital Morvan, +33 (0)2 98 22 33 15,2 Avenue Foch29609 BREST CEDEXFRANCE,,,,,,,,Array based techniques,"Cyprus, Cyprus Association for Children with Cancer and Related Diseases ""One Dream One Wish""",http://www.enaoniromiaefxi.com/enaoniromiaefxi/,,,,,,,,
,,concentration problems,changes in vision,CHU de Nancy - Hôpitaux de Brabois, +33 (0)3 83 15 48 00,Rue du Morvan54511 VANDOEUVRE-LÈS-NANCY CEDEXFRANCE,,,,,,,,Molecular genetics,"Cyprus, PA.SY.KA.F - The Cyprus Association of Cancer Patients and Friends",https://pasykaf.org,,,,,,,,
,,feeling cold or hot,"stomach pain, tenderness or swelling",CHRU de Lille - Hôpital Claude Huriez, +33 (0)3 20 44 41 92,Rue Michel Polonovski59037 LILLE CEDEXFRANCE,,,,,,,,Mutation scanning,"France, Association Source Vive",http://www.source-vive.org/asso.html,,,,,,,,
,,weight changes,yellowing of the skin or eyes,"CHU Paris Centre - Hôpital Cochin, Site Tarnier", +33 (0)1 58 41 42 43,89 rue d'Assas75006 PARISFRANCE,,,,,,,,Targeted mutation analysis,"France, La Ligue Contre le Cancer",https://www.ligue-cancer.net,,,,,,,,
,,skin changes,extreme tiredness,Hôpital Necker-Enfants Malades, +33 (0)1 44 49 43 37,149 rue de Sèvres75743 PARISFRANCE,,,,,,,,,"Italy, ALTI - Associazione ''Io, domani'' per la Lotta contro i Tumori Infantili",http://www.iodomani.it,,,,,,,,
,,,confusion,CHU de Rouen, +33 (0)2 32 88 80 54,1 Rue de Germont76031 ROUEN CEDEXFRANCE,,,,,,,,,"Luxembourg, Een Haerz fir kriibskrank Kanner / Un coeur pour les enfants atteints de cancer",https://www.kriibskrankkanner.lu,,,,,,,,
,,,diarrhea,CHU de la Réunion - GH Sud Réunion - Saint-Pierre, +262 (0)262 35 91 61,BP 35097448 SAINT-PIERRE CEDEXFRANCE,,,,,,,,,"Poland, KOLIBER - Stowarzyszenie na rzecz dzieci z choroba nowotworowa",https://koliber-dzieciom.pl,,,,,,,,
,,,loss of appetite,CHU de Nantes - Hôtel Dieu, +33 (0)2 40 08 31 16,1 place Alexis Ricordeau44093 NANTES CEDEX 1FRANCE,,,,,,,,,"Poland, Fundacja ""Krwinka""",http://www.krwinka.org,,,,,,,,
,,,nausea,Universitäts-Klinik für Dermatologie und Venerologie, +49 (0)761 270 67950,Hauptstraße 779104 FREIBURGGERMANY,,,,,,,,,"Spain, Federación Española de Padres de Niños con Cáncer",https://cancerinfantil.org,,,,,,,,
,,,vomiting,Nationales Centrum für Tumorerkrankungen (NCT), +49 (0)6221 56 8562,Im Neuenheimer Feld 46069115 HEIDELBERGGERMANY,,,,,,,,,"Serbia, ZVONCICA - Childhood cancer parent organisation",http://www.zvoncica.org.rs,,,,,,,,
,,,back pain,Universitätsmedizin Mannheim, +49 (0)621 383 3024,Theodor-Kutzer-Ufer 1 - 368167 MANNHEIMGERMANY,,,,,,,,,,,,,,,,,,
,,,loss of consciousness,Südwestdeutsches Tumorzentrum (CCC) - Tübingen-Stuttgart, +49 (0)7071 29 85235,Herrenberger Straße 2372070 TÜBINGENGERMANY,,,,,,,,,,,,,,,,,,
,,,"numbness, burning or tingling in the hands or feet",Hautklinik am Universitätsklinikum Erlangen, +49 (0)9131 85 33165,Ulmenweg 1891054 ERLANGENGERMANY,,,,,,,,,,,,,,,,,,
,,,,Klinik und Poliklinik für Dermatologie und Allergologie - Campus Innenstadt, +49 (0)89 4400 56391,49 (0)89 4400 56391,,,,,,,,,,,,,,,,,,
,,,,Universitätsklinikum Regensburg, +49 (0)941 944 9601,49 (0)941 944 9601,,,,,,,,,,,,,,,,,,
,,,,Universitäts-Hautklinik Würzburg, +49 (0)931 201 26351,Josef-Schneider-Str. 297080 WÜRZBURGGERMANY,,,,,,,,,,,,,,,,,,
,,,,Klinikum Darmstadt, +49 (0)6151 107 4131,Heidelberger Landstraße 37964297 DARMSTADTGERMANY,,,,,,,,,,,,,,,,,,
,,,,Universitäres Centrum für Tumorerkrankungen (UCT) Frankfurt, +49 (0)69 6301 87333,Theodor-Stern-Kai 760590 FRANKFURT AM MAINGERMANY,,,,,,,,,,,,,,,,,,
,,,,Universitätsmedizin Greifswald, +49 (0)3834 86 6770,Ferdinand-Sauerbruch-Straße17475 GREIFSWALDGERMANY,,,,,,,,,,,,,,,,,,
,,,,Ruhr-Universität Bochum im St. Josef-Hospital, +49 (0)234 509 3411,Gudrunstraße 5644791 BOCHUMGERMANY,,,,,,,,,,,,,,,,,,
,,,,Universitätsklinikum Bonn, +49 (0)228 287 19494,Sigmund-Freud-Str. 2553105 BONNGERMANY,,,,,,,,,,,,,,,,,,
,,,,Universitätsklinikum Köln, +49 (0)221 478 82245,Kerpener Str. 6250937 KÖLNGERMANY,,,,,,,,,,,,,,,,,,
,,,,Universitätsmedizin Mainz, +49 (0)6131 17 2903,Langenbeckstr. 155131 MAINZGERMANY,,,,,,,,,,,,,,,,,,
,,,,Universitäts-Hautklinik Leipzig, +49 (0)341 97 18600,Philipp-Rosenthal-Str. 23-2504103 LEIPZIGGERMANY,,,,,,,,,,,,,,,,,,
,,,,Universitätsklinikum Halle (Saale),  +49 (0)345 557 2685,Ernst-Grube-Straße 4006120 HALLE (SAALE)GERMANY,,,,,,,,,,,,,,,,,,
,,,,Klinikum Quedlinburg, +49 (0)3946 909 1581,Ditfurter Weg 2406484 QUEDLINBURGGERMANY,,,,,,,,,,,,,,,,,,
,,,,Universitäts-Hautklinik Kiel, +49 (0)431 500 21101,Rosalind-Franklin-Straße 724105 KIELGERMANY,,,,,,,,,,,,,,,,,,
,,,,Klinik für Hautkrankheiten am Universitätsklinikum Jena, +49 (0)3641 937 350,Erfurter Straße 3507740 JENAGERMANY,,,,,,,,,,,,,,,,,,
,,,,UMCG - Universitair Medisch Centrum Groningen, +31 (0)50 361 6161,Hanzeplein 19713 GZ GRONINGENNETHERLANDS,,,,,,,,,,,,,,,,,,
,,,,Szpital Kliniczny im. Heliodora Swiecickiego, +48 61 869 1285,Przybyszewskiego 4960-355 POZNANPOLAND,,,,,,,,,,,,,,,,,,
,,,,Hôpitaux Universitaires de Genève - Maternité, +0041 (0)22 372 98 53,Boulevard de la Cluse 301211 GENÈVESWITZERLAND,,,,,,,,,,,,,,,,,,
,,,,Institut Central des Hôpitaux (ICH), +0041 (0)27 603 48 53,Avenue Grand-Champsec 861951 SIONSWITZERLAND,,,,,,,,,,,,,,,,,,
,,,,University Hospital of Antwerp - UZA, +32 (0)3 275 97 74,Wilrijkstraat 102650 ANTWERPEN-EDEGEMBELGIUM,,,,,,,,,,,,,,,,,,
,,,,Cliniques Universitaires UCL Saint-Luc, +32 (0)2 764 78 00,"Avenue Hippocrate, 101200 BRUSSELSBELGIUM",,,,,,,,,,,,,,,,,,
,,,,Erasme Hospital - ULB, +32 (0)2 555 41 45,Route de Lennik 8081070 BRUSSELSBELGIUM,,,,,,,,,,,,,,,,,,
,,,,Ghent University Hospital - UZ Gent,-,Corneel Heymanslaan 109000 GENTBELGIUM,,,,,,,,,,,,,,,,,,
,,,,University Hospitals Leuven - Gasthuisberg, +32 (0)16 34 59 03,Herestraat 493000 LEUVENBELGIUM,,,,,,,,,,,,,,,,,,
,,,,Health Sciences Centre, +1(204)787-2494,820 Sherbrook StreetR3A 1R9 WINNIPEGCANADA,,,,,,,,,,,,,,,,,,
,,,,"Genetics Clinic, Credit Valley Hospital", +1 (905) 813-4104,2200 Eglinton Ave WestL5M 2N1 MISSISSAUGACANADA,,,,,,,,,,,,,,,,,,
,,,,Mount Sinai Hospital, +1 (416) 586-4523,600 University AvenueM5G 1Z5 TORONTOCANADA,,,,,,,,,,,,,,,,,,
,,,,Centre hospitalier universitaire Sainte-Justine, +1(514)345-4727,"3175, Chemin de la Côte Sainte-CatherineH3T 1C5 MONTRÉALCANADA",,,,,,,,,,,,,,,,,,
,,,,Glen / McGill Univeristy Health Centre - Centre Universitaire de santé McGill, +1 (514) 412 - 4427,1001 Décarie blvd.H4V 3J1 MONTRÉALCANADA,,,,,,,,,,,,,,,,,,
,,,,CHU Sherbrooke - Hôpital Fleurimont, +1 (819) 820-6828,"001, 12e Avenue NordJ1H 5N4 SHERBROOKECANADA",,,,,,,,,,,,,,,,,,
,,,,Kuopio University Hospital,-,Puijonlaaksontie 270210 KUOPIOFINLAND,,,,,,,,,,,,,,,,,,
