Medical name ,Brand Name,Drugs side Effects,Dangerous Side effects,Expert Centres,Contact Expert Centres,Contact II Expert Centres,Latitude,Longitude,Genetic Counseling,Contact Genetic C,Contact II Genetic C,Latitude2,Longitude2,Diagnostic test,Patient Organisation (PO),PO Link,Age of onset,Prevalence in Europe,Genes,Gene symbol,Type of mutation,UniProtKB,Symptoms and signs
Pazopanib hydrochloride,VOTRIENT,Diarrhoea,heart problems,Medizinische Universität Graz, +43 (0)316 385 13358,"Auenbruggerpl. 2, 8036 Graz, Austria",,,Radboudumc - Radboud universitair medisch centrum, +31 (0)24 361 1111,Geert Grooteplein-Zuid 10 6525 GA NIJMEGEN NETHERLANDS,,,PCR based techniques,"United Kingdom, Melanoma Focus",https://melanomafocus.com,Adult,,EWS RNA binding protein 1,EWSR1,Part of a fusion gene in,Q01844,Lump or mass
,,Skin rash,stroke,Universitätsklinikum Freiburg, +49 00 (0)761 270 0,Hugstetter Str. 55 79106 FREIBURG GERMANY,,,Prinses Máxima Centrum," +31 (0)88 972 7272
",Heidelberglaan 25 3584 CS UTRECHT NETHERLANDS,,,FISH,"United Kingdom, CLIC Sargent",https://www.clicsargent.org.uk,,,activating transcription factor 1,ATF1,Part of a fusion gene in,P18846,Uncomfortable swelling
,,Tiredness ,changes to your periods,Deutsches Krebsforschungszentrum, +49 (0)6221 56 8381,Im Neuenheimer Feld 280 69120 HEIDELBERG GERMANY,,,LUMC - Leids Universitair Medisch Centrum, +31 (0)71 526 8003,Albinusdreef 2 2333 ZA LEIDEN NETHERLANDS,,,NGS techniques,"United Kingdom, Teenage Camcer trust",https://www.teenagecancertrust.org,,,cAMP responsive element binding protein 1,CREB1,Part of a fusion gene in,P16220,Limited mobility
,,Change in hair colour,runny nose,Universitätsmedizin Mannheim, + 49 (0)621 383 2447,"Theodor-Kutzer-Ufer 1 - 3 68167 MANNHEIM GERMANY

",,,Erasmus MC - Erasmus Medisch Centrum," +31 (0)10 704 0704
",Gravendijkwal 230 3015 CE ROTTERDAM NETHERLANDS,,,,"Australia, RCA Rare Cancers Australia limited",https://melanomafocus.com,,,,,,,Skin lesions
,,hypertension,skin sensitivity to sunlight,Klinikum Stuttgart - Standort Olgahospital, +49 (0)711 278 72461,Kriegsbergstraße 62 70174 STUTTGART GERMANY,,,Hospital Sant Joan de Déu Barcelona, +34 93 253 21 00,"Paseo de Sant Joan de Déu, 2 08950 ESPLUGUES DE LLOBREGAT SPAIN",,,,"Belgium, Fondation contre le Cancer, Fondation d'utilité publique",https://www.cancer.be,,,,,,,
,,Loss of appetite,,Klinik für Kinder- und Jugendmedizin des Universitätsklinikums Ulm, + 49 (0)731 500 57491,Eythstr. 24 89075 ULM GERMANY,,,CHR de Metz-Thionville, +33 (0)3 87 34 51 35,1 allée du château - CS45001 57085 METZ CEDEX 03 FRANCE,,,,"Cyprus, Cyprus Association for Children with Cancer and Related Diseases ""One Dream One Wish""",http://www.enaoniromiaefxi.com/enaoniromiaefxi/,,,,,,,
,,Weight loss,,Klinikum Augsburg, + 49 (0)821 400 9310,Stenglinstr. 2 86156 AUGSBURG GERMANY,,,University Hospital of Antwerp - UZA, + 32 (0)3 275 97 74,"Wilrijkstraat 10 2650 ANTWERPEN-EDEGEM BELGIUM
",,,,"Cyprus, PA.SY.KA.F - The Cyprus Association of Cancer Patients and Friends",https://pasykaf.org,,,,,,,
,,Headaches,,"Abteilung für Pädiatrische Hämatologie, Onkologie und Stammzelltransplantation", +49 (0)941 944 2101,Franz-Josef-Strauß-Allee 11 93053 REGENSBURG GERMANY,,,Cliniques Universitaires UCL Saint-Luc, +32 (0)2 764 78 00,"Avenue Hippocrate, 10 1200 BRUSSELS BELGIUM",,,,"France, Association Source Vive",http://www.source-vive.org/asso.html,,,,,,,
,,Liver changes,,"Kinderklinik und Poliklinik
", + 49 (0)931 201 27831,Josef-Schneider-Str. 2 97080 WÜRZBURG GERMANY,,,Erasme Hospital - ULB, +32 (0)2 555 41 45,"Route de Lennik 808 1070 BRUSSELS BELGIUM
",,,,"France, La Ligue Contre le Cancer",https://www.ligue-cancer.net,,,,,,,
,,Sore mouth,,Klinik für Kinder- und Jugendmedizin, +49 (0)30 9401 54500,Schwanebecker Chaussee 50 13125 BERLIN GERMANY,,,CHU Sart Tilman - Liège, +32 (0)4 284 36 40,Domaine Universitaire du Sart Tilman - Bâtiment B 35 · B 4000 LIEGE BELGIUM,,,,"Italy, ALTI - Associazione ''Io, domani'' per la Lotta contro i Tumori Infantili",http://www.iodomani.it,,,,,,,
